serviceid,branch,contractterm,serviceactivestatus,programmodel,campus,teachingorg,fulladdress,servicename,fundingSource,secondaryFundingSource,FundedBy_OtherSpecify,budgetcategory,initiative,budgetstatus,StaffEligibleToRecruit,StaffEligibleToStart,ContractStatus,ContractSentDate,LastContactDate,ContractNotes,TeachingOrg_SignedBudgetDate,TeachingOrg_SignedContractDate,TeachingOrg_CompletedDate,is501c3,Contract End Date,letterofgoodstandingdate,Insurance,firstname0,lastname0,email0,roles0,docs0,bg0,firstname1,lastname1,email1,roles1,docs1,bg1,firstname2,lastname2,email2,roles2,docs2,bg2,firstname3,lastname3,email3,roles3,docs3,bg3,firstname4,lastname4,email4,roles4,docs4,bg4,firstname5,lastname5,email5,roles5,docs5,bg5,firstname6,lastname6,email6,roles6,docs6,bg6,firstname7,lastname7,email7,roles7,docs7,bg7,firstname8,lastname8,email8,roles8,docs8,bg8,ProgramSpecialists,ProgramManagers,ContractAdmins,pc1,pc2,pc3,emails,ContentArea,SubContentArea,Category,edocid
7729659,North/Northwest,School Year,Active,Internship,,Green Thumbs,"402 CONSTITUTION AVENUE NE WASHINGTON, DC 20002",Green Thumbs,,,,62032306,,Approved/Locked,,test test test,Complete,12/3/2019,3/5/2019,test data for github,12/20/2019,3/25/2019,12/20/2019,Y,6/30/2020,5/24/2019,OK,Agnus,Palisano,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Natural Science,Environmental,99269
7671106,North/Northwest,Full Year,Active,Apprenticeship,,Hana Inc,"219 5TH STREET NE WASHINGTON, DC 20002",Drumline,,,,22032094,,Approved/Locked,,test test test,Incomplete,3/8/2018,1/4/2019,test data for github,,3/18/2019,5/13/2019,Y,6/30/2020,5/24/2019,OK,Agripina,Palisbo,testemail(at)test,Instructor,,XYZ Exempt,Vannesa,Paniccia,testemail(at)test,Instructor,,XYZ Exempt,Wam,Elsayed,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,Mercedes,Etzler,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Gonzalez,Selena Miller,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Music,Drumming,93092
7670796,South/Southwest,Full Year,Active,Apprenticeship,,AlternaSchool,"216 5TH STREET NE WASHINGTON, DC 20002",Cooking with Class,,,,42032060,,Approved/Locked,,test test test,Complete,3/24/2015,5/15/2018,test data for github,5/7/2019,3/13/2019,5/7/2019,Y,6/30/2020,10/3/2019,OK,Agueda,Palischak,testemail(at)test,Community Liaison,,,Vannessa,Panich,testemail(at)test,Instructor,,,Wonda,Elsberry,testemail(at)test,Instructor,,,Mercedez,Eubank,testemail(at)test,Community Liaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebony Henderson,Yesenia Alvarez,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Culinary Art,Food Preparation and Plating,93418
7670617,North/Northwest,Full Year,Active,Advanced Apprenticeship,,Town Bikes NFP,"215 5TH STREET NE WASHINGTON, DC 20002",Bike Repair 101,,,,22030224,,Approved/Locked,,test test test,Complete,3/7/2018,1/4/2019,test data for github,6/7/2019,3/18/2019,5/15/2019,Y,6/30/2020,5/24/2019,OK,Agustin,Palisi,testemail(at)test,Community Liaison; Instructor,,,Vashti,Panico,testemail(at)test,Community Liaison,,XYZ Exempt,Woodrow,Elsbree,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muriel Colette,Chris Sorensen,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Industrial Technology,Motor Vehicles (Automotive Repair),93306
7670619,South/Southwest,Full Year,Active,Advanced Apprenticeship,,Champion Inc,"626 CONSTITUTION AVENUE NE WASHINGTON, DC 20002",Gymnastics and Tumbling,,,,42032466,,Approved/Locked,,test test test,Complete,3/7/2018,4/12/2019,test data for github,10/22/2019,3/13/2019,6/10/2019,Y,6/30/2020,6/11/2019,OK,Agustina,Palitti,testemail(at)test,Community Liaison; Instructor,,,Vasiliki,Panik,testemail(at)test,Instructor,,XYZ Exempt,Wyatt,Elsbury,testemail(at)test,Instructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leah Walker,Yesenia Alvarez,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,,test(at)testdotcom,Sports,Health and Wellness,Fitness,93100
7670661,South/Southwest,Full Year,Active,Advanced Apprenticeship,,TOWN CHEERLEADERS,"602 CONSTITUTION AVENUE NE WASHINGTON, DC 20002",Advanced Gymnastics,,,,42032234,,Approved/Locked,,test test test,Complete,3/7/2018,3/5/2019,test data for github,5/5/2019,8/20/2019,5/5/2019,Y,6/30/2020,10/24/2019,OK,Ahmad,Palk,testemail(at)test,Community Liaison; Contract Administrator; Instructor,,,Vaughn,Panila,testemail(at)test,Instructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim O'Grady,Yesenia Alvarez,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Sports,Sports-Related Certification,Gymnastics,92813
7670657,North/Northwest,Full Year,Active,Apprenticeship,Clark,Caribbean Life,"213 6TH STREET NE WASHINGTON, DC 20002",African Roots Dance Club,,,,22032479,,Approved/Locked,,test test test,Complete,,,test data for github,11/18/2019,6/4/2019,5/30/2019,Y,6/30/2020,5/20/2019,OK,Ahmed,Palka,testemail(at)test,Community Liaison; Instructor,,,Veda,Panis,testemail(at)test,Instructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiki Meyers,Selena Miller,,,,,test(at)testdotcom,Arts,Performance Arts,Dance,93200
7670656,North/Northwest,Full Year,Active,Apprenticeship,,Belvis Cultral Center,"3545 TEXAS AVENUE SE WASHINGTON, DC 20020",Afro-Latin Jazz Club,,,,22032474,,Approved/Locked,,test test test,Complete,3/7/2018,3/7/2019,test data for github,5/7/2019,3/18/2019,5/7/2019,Y,6/30/2020,5/24/2019,OK,Ai,Palko,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,Velda,Panitz,testemail(at)test,Instructor,,XYZ Exempt,Xavier,Elsen,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiki Meyers,Selena Miller,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Music,Jazz,93148
7716997,North/Northwest,School Year,Active,Internship,,Assoc. of Illinois,"3531 TEXAS AVENUE SE WASHINGTON, DC 20020",SEA Assistant Program (M W Th),,,,,,,,test test test,Incomplete,3/13/2017,1/4/2019,test data for github,,,,Y,6/30/2020,5/24/2019,OK,Aida,Pall,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99291
7715000,North/Northwest,School Year,Active,Internship,,Assoc. of Illinois,"3531 TEXAS AVENUE SE WASHINGTON, DC 20020","SEA Assistant Program (Tu, W, Th)",,,,,,,,test test test,Incomplete,3/13/2017,1/4/2019,test data for github,,,,Y,6/30/2020,5/24/2019,OK,Aide,Palla,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99292
